"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000229807.15",3646.76802888253,-6.60200604193803,0.361958923263008,-18.2396554349922,2.50029482567901e-74,4.71805633605628e-70,"XIST"
"ENSG00000114374.13",253.200432983218,6.82489913268094,0.517292358314731,13.1935046458361,9.56337511191912e-40,9.02304441809569e-36,"USP9Y"
"ENSG00000129824.16",337.097548034968,7.19184984708674,0.583797762661542,12.3190774392471,7.150763717049e-35,4.49783037802382e-31,"RPS4Y1"
"ENSG00000067048.17",221.864102124971,6.42403308731606,0.570488756367843,11.2605779090481,2.0540723522315e-29,9.69008632165208e-26,"DDX3Y"
"ENSG00000012817.16",94.0712176808959,6.95845367977811,0.742590737099061,9.37050966587785,7.21831185997955e-21,2.72419089595628e-17,"KDM5D"
"ENSG00000291033.2",110.361133334784,7.55673452401944,0.81434257209994,9.27955234433211,1.70192097276462e-20,5.35254145934474e-17,"TXLNGY"
"ENSG00000198692.10",93.8679381889559,6.48701294164003,0.708986546899477,9.14969821361051,5.70928165556133e-20,1.53905921200632e-16,"EIF1AY"
"ENSG00000165246.15",141.619217975565,6.83304830683828,0.801894941196099,8.52112659127911,1.58008712244979e-17,3.72703050007845e-14,"NLGN4Y"
"ENSG00000099715.15",186.732690717352,8.07208726516528,0.951044903150273,8.48759847030043,2.10950976107917e-17,4.42293879906266e-14,"PCDH11Y"
"ENSG00000176728.11",80.1228397503822,6.21172694156928,0.745945241876354,8.32732296266717,8.26909299378739e-17,1.56037784792768e-13,"TTTY14"
"ENSG00000183878.16",60.574207579726,7.88346621607776,1.0866400576166,7.25490116144726,4.01955243209947e-13,6.89535949033791e-10,"UTY"
"ENSG00000154620.6",51.4523471784009,7.66492244366176,1.10308203256049,6.9486422744733,3.68818434136861e-12,5.79966987680215e-09,"TMSB4Y"
"ENSG00000067646.12",38.7136250624373,7.13750136499044,1.18260559161193,6.03540302499481,1.58566431922782e-09,2.30165274644837e-06,"ZFY"
